"","x"
"1250","PTPN2B"
"1251","TDRD15"
"1252","ZGC:56585"
"1253","CRYBGX"
"1254","NAV1B"
"1255","TNFAIP2B"
"1256","IRX5A"
"1257","SI:CH211-193L2.3"
"1258","S100V2"
"1259","NRN1A"
"1260","CBFA2T3"
"1261","TIFA"
"1262","MAFBB"
"1263","BTG2"
"1264","PRRG4"
"1265","RNF213B"
"1266","ARL11"
"1267","ADGRG11"
"1268","GADD45GA"
"1269","TSPAN13B"
"1270","KDF1A"
"1271","SYNCRIPL"
"1272","TMEM176L.1"
"1273","ICA1"
"1274","ARFGAP3"
"1275","TMSB4X"
"1276","EBF2"
"1277","PHLDA1"
"1278","FAM114A2"
"1279","FLRT3"
"1280","RGS5B"
"1281","ISL2B"
"1282","SI:DKEY-57A22.11"
"1283","SFRP5"
"1284","SI:CH211-195B21.5"
"1285","LGALS3L"
"1286","TRAPPC6B"
"1287","SI:CH1073-526C11.2"
"1288","SI:CH211-202H22.7"
"1289","DAW1"
"1290","AHCYL2"
"1291","CHTOPA"
"1292","RHOUB"
"1293","PLECB"
"1294","SOX19A"
"1295","SLC25A42"
"1296","ST6GALNAC1.2"
"1297","TMEM251"
"1298","CAPNS1A"
"1299","UGT8"
"1300","TAGLN3B"
"1301","TP53INP2"
"1302","BRD3A"
"1303","VSX1"
"1304","MCM6L"
"1305","DNMT3BB.1"
"1306","WNT11R"
"1307","FGF10A"
"1308","HAPLN4"
"1309","NKX3.3"
"1310","SLC25A1"
"1311","SI:CH73-215F7.1"
"1312","SOX11B"
"1313","RPAIN"
"1314","GSG1L"
"1315","TRIM25L"
"1316","ANKHA"
"1317","ERLEC1"
"1318","ACIN1B"
"1319","EVA1A"
"1320","LRRC40"
"1321","ZGC:162025"
"1322","VSIG10"
"1323","KPNA4"
"1324","IDE"
"1325","RBM26"
"1326","ZGC:153499"
"1327","DYNLL2B"
"1328","RAB5C"
"1329","ZGC:92242"
"1330","SMOC2"
"1331","MEIS2B"
"1332","SNX27A"
"1333","UACAB"
"1334","KLF5A"
"1335","DBR1"
"1336","EFNB2B"
"1337","GCSHB"
"1338","ZGC:109949"
"1339","MYOZ3A"
"1340","ALX4A"
"1341","CA6"
"1342","CLDN15A"
"1343","ENO3"
"1344","MKI67"
"1345","SPACA4L"
"1346","NPEPL1"
"1347","JUN"
"1348","DIS3L2"
"1349","CCDC65"
"1350","SI:CH211-188C18.1"
"1351","NR2E1"
"1352","PCLOA"
"1353","MARVELD3"
"1354","ZGC:123217"
"1355","ADCYAP1R1B"
"1356","HEY2"
"1357","JUNBA"
"1358","PDIA4"
"1359","RBL2"
"1360","SI:CH211-150G5.4"
"1361","XPC"
"1362","CR450793.1"
"1363","NFYAL"
"1364","TMEM144B"
"1365","HMX1"
"1366","COX17"
"1367","FOXB1A"
"1368","LIPG"
"1369","SI:CH211-86H15.1"
"1370","ZGC:171497"
"1371","PONZR2"
"1372","TTC22"
"1373","NIPA2"
"1374","CNOT8"
"1375","RGRA"
"1376","MAPKAPK2A"
"1377","IPMKB"
"1378","INSL5A"
"1379","PRDX1"
"1380","LRATA"
"1381","IQCA1L"
"1382","CACNB4B"
"1383","RECQL4"
"1384","SI:CH211-134A4.6"
"1385","ZNFL2A"
"1386","PINX1"
"1387","ADD3B"
"1388","MAP1AB"
"1389","IFIT12"
"1390","ZP3.2"
"1391","GKAP1"
"1392","CYP2K16"
"1393","ZGC:194989"
"1394","BTR12"
"1395","SDE2"
"1396","LMO1"
"1397","SI:CH211-110E21.3"
"1398","CYP1B1"
"1399","EHMT1B"
"1400","CEP250"
"1401","HER15.2"
"1402","NR5A2"
"1403","LSM12A"
"1404","TJP3"
"1405","HOXB9A"
"1406","GNG8"
"1407","SI:DKEY-247K7.2"
"1408","BRDT"
"1409","PPP1R3G"
"1410","SI:CH73-70C5.2"
"1411","PYCR1B"
"1412","IM:7147486"
"1413","RAB35B"
"1414","TBX2A"
"1415","TFAP2C"
"1416","SI:DKEY-42I9.4"
"1417","ALDH18A1"
"1418","MAP7D1A"
"1419","COL9A1B"
"1420","FAM101B"
"1421","PSTPIP2"
"1422","PSAP"
"1423","HOXB3A"
"1424","TMEM119B"
"1425","QUO"
"1426","PAX1B"
"1427","FAM49BA"
"1428","BARHL1A"
"1429","HIGD1A"
"1430","GLIPR2L"
"1431","SLC17A9B"
"1432","DNAJC3A"
"1433","PCDH10B"
"1434","NOVA2"
"1435","ANGPTL6"
"1436","SRFBP1"
"1437","UBFD1"
"1438","PROCA1"
"1439","CFAP43"
"1440","ACTB1"
"1441","LMX1BB"
"1442","B3GNT5B"
"1443","MAD1L1"
"1444","GPT2"
"1445","CDH12A"
"1446","ID2A"
"1447","HSP90B1"
"1448","SI:CH211-193L2.5"
"1449","RNF126"
"1450","CA2"
"1451","RBP4L"
"1452","GALNT6"
"1453","GABRA5"
"1454","ISL2A"
"1455","CFAP53"
"1456","SP5A"
"1457","IQCA1"
"1458","CRACR2AB"
"1459","ZGC:153675"
"1460","SI:ZFOS-44A5.1"
"1461","CU019646.2"
"1462","ESM1"
"1463","PRKACBA"
"1464","STX11B.2"
"1465","MEIS1B"
"1466","SI:DKEY-52L18.4"
"1467","CCDC106B"
"1468","NAA15B"
"1469","TNFRSF9A"
"1470","AHNAK"
"1471","SI:CH211-155M12.5"
"1472","VMHCL"
"1473","PI4K2B"
"1474","CX43.4"
"1475","FAM46BB"
"1476","PRG4B"
"1477","SCPP8"
"1478","AADACL4"
"1479","HMX3A"
"1480","FN1A"
"1481","SESN3"
"1482","KIF20BA"
"1483","GFAP"
"1484","PTGES3L"
"1485","FOXF2B"
"1486","RCAN3"
"1487","GOLIM4B"
"1488","ZDHHC6"
"1489","NID2A"
"1490","MCAMA"
"1491","PTGS2B"
"1492","IM:7152348"
"1493","GCLC"
"1494","NCEH1A"
"1495","LRRFIP1A"
"1496","SI:DKEY-226M8.9"
"1497","GID8B"
"1498","TMSB15A"
"1499","HOXD11A"
"1500","TMEM178B"
"1501","SI:DKEY-125I10.3"
"1502","GIG2N"
"1503","EBF3A"
"1504","SI:DKEY-126G1.9"
"1505","NAA40"
"1506","PRRX1A"
"1507","HOXC6B"
"1508","POU6F2"
"1509","RRAGCA"
"1510","KIRREL3L"
"1511","TRAF3IP2B"
"1512","CCDC82"
"1513","PSME3"
"1514","ARL6IP5B"
"1515","TMED1A"
"1516","NTN5"
"1517","TMPRSS15"
"1518","ZGC:110353"
"1519","ONECUTL"
"1520","FAM57BA"
"1521","CNOT4B"
"1522","ERBB3A"
"1523","SI:DKEY-235H8.1"
"1524","GRHL2B"
"1525","SI:DKEY-102C8.3"
"1526","EGLN3"
"1527","FOXJ1B"
"1528","MICALL2A"
"1529","COL1A1B"
"1530","SI:CH73-77M20.2"
"1531","CCDC186"
"1532","ACADL"
"1533","STAP2B"
"1534","GCH2"
"1535","SI:DKEY-261J4.4"
"1536","DNAAF1"
"1537","FGD4"
"1538","SPRYD3"
"1539","GM2A"
"1540","PARN"
"1541","COPZ2"
"1542","SALL4"
"1543","LNX2B"
"1544","CCDC87"
"1545","CAPN8"
"1546","CCNG1"
"1547","SI:CH211-183D5.2"
"1548","SI:CH211-262I1.3"
"1549","SI:DKEY-25E12.3"
"1550","ACSL4B"
"1551","POMCB"
"1552","TPPP3"
"1553","ID1"
"1554","SI:DKEY-24P1.6"
"1555","HOXA10B"
"1556","ZGC:113162"
"1557","AL929192.1"
"1558","ENOSF1"
"1559","DESI2"
"1560","CALR"
"1561","LRRC39"
"1562","SI:DKEY-250K15.4"
"1563","ELOVL1B"
"1564","TMSB"
"1565","ANXA4"
"1566","BRD2B"
"1567","SMIM12"
"1568","NANOS1"
"1569","THBS4B"
"1570","CDC37L1"
"1571","CT030144.1"
"1572","RND1L"
"1573","SOX9B"
"1574","CCDC9"
"1575","CTSL.1"
"1576","SLC7A5"
"1577","SPTLC3"
"1578","COX4I2"
"1579","GATSL3"
"1580","COLEC12"
"1581","ARHGDIG"
"1582","BRF1A"
"1583","CTCF"
"1584","VSTM4A"
"1585","KBTBD11"
"1586","ARIH1L"
"1587","CDCA9"
"1588","BACE2"
"1589","SLC35F6"
"1590","PDIA3"
"1591","MYLIPA"
"1592","FZD8A"
"1593","ZGC:152986"
"1594","PDAP1B"
"1595","ARHGAP20"
"1596","STX8"
"1597","PERP"
"1598","SI:DKEY-85K7.7"
"1599","ATL3"
"1600","TMEM88B"
"1601","DAXX"
"1602","SLKA"
"1603","JTB"
"1604","BX322608.1"
"1605","PTH1B"
"1606","SI:CH211-250I3.3"
"1607","MXTX1"
"1608","CD151"
"1609","CT574587.1"
"1610","SI:DKEYP-10A3.2"
"1611","RPP25L"
"1612","COL4A1"
"1613","MNX2B"
"1614","ZGC:92518"
"1615","CCSER2B"
"1616","CDIPT"
"1617","DLX2A"
"1618","PLCL2"
"1619","FTR14L"
"1620","PONZR3"
"1621","SI:CH211-120J21.2"
"1622","FJX1"
"1623","KLF2B"
"1624","OLFCG2"
"1625","PARVB"
"1626","MYRIP"
"1627","SYTL4"
"1628","LPAR1"
"1629","ZGC:163083"
"1630","CEP350"
"1631","PIAS4B"
"1632","AHCYL1"
"1633","VAX1"
"1634","THEG"
"1635","XIRP1"
"1636","TESCA"
"1637","SI:DKEY-95H12.1"
"1638","FADS6"
"1639","SVILA"
"1640","ALCAMB"
"1641","DNAJB11"
"1642","LPAR3"
"1643","TACC1"
"1644","CCND1"
"1645","SI:DKEYP-73B11.8"
"1646","SNRPC"
"1647","KHDRBS1A"
"1648","ZGC:101783"
"1649","CHAC1"
"1650","ATP2B1B"
"1651","EDN1"
"1652","CDC14B"
"1653","ST14A"
"1654","BMP2B"
"1655","SLC35C1"
"1656","SH3GL1A"
"1657","WNT7AA"
"1658","UCHL3"
"1659","HER4.3"
"1660","CABZ01117575.1"
"1661","FKBP14"
"1662","SI:CH211-222L21.1"
"1663","MAP3K7"
"1664","SI:CH73-52F24.4"
"1665","SI:DKEY-21A6.5"
"1666","FGF17"
"1667","ZGC:113425"
"1668","PAX10"
"1669","CALM2A"
"1670","ICAL1"
"1671","CALD1L2"
"1672","EMP2"
"1673","RAB11FIP4B"
"1674","ASZ1"
"1675","SLC24A4A"
"1676","ITIH2"
"1677","SKOR1B"
"1678","SOST"
"1679","UBAC1"
"1680","SEMA3FB"
"1681","FAF1"
"1682","RSPO3"
"1683","IRAK3"
"1684","TFAP2E"
"1685","SI:DKEY-9C18.3"
"1686","CDKN1CB"
"1687","MPLKIP"
"1688","NHLH2"
"1689","MCFD2"
"1690","DLD"
"1691","HOXD10A"
"1692","SST6"
"1693","ALOX12"
"1694","SI:CH211-106E7.2"
"1695","HNRNPABB"
"1696","FBLN2"
"1697","FAM212AB"
"1698","TMEM55BA"
"1699","LMO4B"
"1700","SMOX"
"1701","CTHRC1A"
"1702","EPAS1A"
"1703","PLK3"
"1704","ZC2HC1C"
"1705","CABZ01112575.1"
"1706","CABZ01076275.1"
"1707","WASF2"
"1708","TRIM16"
"1709","HER12"
"1710","EPHA7"
"1711","ZGC:101765"
"1712","PPP4R2B"
"1713","CABZ01072765.1"
"1714","GCK"
"1715","CAMSAP3"
"1716","SI:CH73-95L15.5"
"1717","BX322612.1"
"1718","TGM1"
"1719","ADCYAP1B"
"1720","P2RX1"
"1721","DLX4A"
"1722","LYPD6B"
"1723","NDNF"
"1724","RPS6KA3A"
"1725","EHMT1A"
"1726","ILDR1A"
"1727","FBXW2"
"1728","CLIP1A"
"1729","RSPO2"
"1730","EFHD1"
"1731","USP1"
"1732","SI:CH211-161H7.4"
"1733","NOX1"
"1734","SI:CH73-138N13.1"
"1735","ACSF2"
"1736","CAST"
"1737","SDR16C5A"
"1738","NUSAP1"
"1739","PRC1A"
"1740","SEC61A1L"
"1741","VSTM2L"
"1742","ZIC2B"
"1743","HOXA13B"
"1744","AATKB"
"1745","PPP1R18"
"1746","SI:DKEY-176G1.4"
"1747","FOXN1"
"1748","si:dkey-246j23.6"
"1749","SYNGR1A"
"1750","NUDT17"
"1751","CDC42SE1"
"1752","RAC1A"
"1753","ACBD5A"
"1754","SLC4A10A"
"1755","SECISBP2"
"1756","MEF2CB"
"1757","TMEM238B"
"1758","ADRA2DA"
"1759","SLC9A3R1"
"1760","PKD1B"
"1761","BX324216.1"
"1762","DDX3A"
"1763","SEMA3FA"
"1764","NDR2"
"1765","INSM1B"
"1766","AIM1A"
"1767","CDC20"
"1768","FNBP1L"
"1769","SOX1A"
"1770","ZGC:171699"
"1771","CRY1AB"
"1772","AKAP17A"
"1773","ZFAND5A"
"1774","FAM65C"
"1775","CAMK1B"
"1776","VRTN"
"1777","GABARAPA"
"1778","MS4A17A.10"
"1779","TARBP2"
"1780","JAGN1A"
"1781","RX1"
"1782","SLC37A2"
"1783","SI:DKEY-234L24.10"
"1784","ZGC:110339"
"1785","OSBPL2B"
"1786","TNRC5"
"1787","CCL19B"
"1788","GPX7"
"1789","GPHNB"
"1790","WNT5B"
"1791","FABP3"
"1792","BCL2L13"
"1793","APOL1"
"1794","PRKRIP1"
"1795","WIF1"
"1796","HAS2"
"1797","ARHGAP4A"
"1798","POU3F1"
"1799","B3GALT2"
"1800","SPARC"
"1801","SEMA5BB"
"1802","NCOR2"
"1803","PLA2G4F.1"
"1804","SCRT1A"
"1805","HNRNPA1B"
"1806","CSNK1G2A"
"1807","B3GAT2"
"1808","SI:CABZ01074946.1"
"1809","CR376787.1"
"1810","TOR1L3"
"1811","TTLL10"
"1812","NPTX1L"
"1813","BRD2A"
"1814","SSR4"
"1815","CLIC2"
"1816","NRP1A"
"1817","CU570881.1"
"1818","H2AFX"
"1819","BMI1A"
"1820","UBA5"
"1821","SI:DKEY-27I16.2"
"1822","PMP22A"
"1823","CKMA"
"1824","NR2F5"
"1825","SYT5B"
"1826","FAM174B"
"1827","HTR1D"
"1828","SNX8A"
"1829","FYNA"
"1830","CTSS2.2"
"1831","LUZP2"
"1832","URAH"
"1833","EMID1"
"1834","ATG101"
"1835","FAM169AA"
"1836","FAUB"
"1837","MHC1UBA"
"1838","ITPKB"
"1839","EFNB2A"
"1840","KDM4B"
"1841","CLEC11A"
"1842","GALNT8B.2"
"1843","VEGFBB"
"1844","ARHGAP18"
"1845","ZNF219"
"1846","RASIP1"
"1847","SI:DKEY-20J10.2"
"1848","RGS7A"
"1849","SHE"
"1850","GDF11"
"1851","PPP4R2A"
"1852","MTHFSD"
"1853","ZGC:113531"
"1854","VMP1"
"1855","INAA"
"1856","GLE1"
"1857","CABZ01064972.2"
"1858","DNAJC5GA"
"1859","NKX2.2A"
"1860","ARHGEF1B"
"1861","CCDC80L1"
"1862","DCDC2B"
"1863","SI:CH211-193L2.4"
"1864","SI:CH211-191I18.2"
"1865","HELB"
"1866","ZGC:123010"
"1867","MSI2B"
"1868","BTR01"
"1869","RYR1A"
"1870","XRCC4"
"1871","HOXB5B"
"1872","MYCLA"
"1873","YWHAZ"
"1874","RTN1B"
"1875","SI:DKEYP-98A7.9"
"1876","EBAG9"
"1877","ATPV0E2"
"1878","GOLGB1"
"1879","SIX3A"
"1880","CPEB4"
"1881","ZNF395"
"1882","SEPT9A"
"1883","SI:DKEY-76P14.2"
"1884","FGFRL1B"
"1885","SERPINE2"
"1886","ZGC:163014"
"1887","SI:DKEY-208C12.2"
"1888","CABZ01092285.1"
"1889","MTP"
"1890","NDEL1B"
"1891","ATPIF1B"
"1892","RPS6KA3B"
"1893","ZGC:114118"
"1894","CU984579.1"
"1895","KCTD12.1"
"1896","si:dkey-74n13.1"
"1897","ACKR3"
"1898","PCDH17"
"1899","SLC25A44B"
"1900","RGS5A"
"1901","SI:DKEYP-11G8.3"
"1902","CAB39L1"
"1903","GFI1AB"
"1904","SLC6A15"
"1905","SCNM1"
"1906","COQ10B"
"1907","PDXDC1"
"1908","SST3"
"1909","PTN"
"1910","PPAP2D"
"1911","APOA1BP"
"1912","SEC22BA"
"1913","MEGF10"
"1914","ATG5"
"1915","SI:DKEY-262K9.2"
"1916","CALUB"
"1917","NEK2"
"1918","SI:CH73-21G5.7"
"1919","FO904953.1"
"1920","NUCB2B"
"1921","MYH7BA"
"1922","DENND6B"
"1923","SLC4A2A"
"1924","LHFP"
"1925","MARK3A"
"1926","MYCN"
"1927","SI:DKEY-15J16.6"
"1928","CARD11"
"1929","GOLGA3"
"1930","BLVRB"
"1931","CENPF"
"1932","ZGC:158564"
"1933","MAP1B"
"1934","WU:FB59D01"
"1935","CAMK2N2"
"1936","TOB1B"
"1937","IRX1A"
"1938","RASGEF1BA"
"1939","CPLX1"
"1940","RAB44"
"1941","VTCN1"
"1942","CP"
"1943","SPARCL1"
"1944","RAB36"
"1945","JPH3"
"1946","DACT2"
"1947","KIRRELB"
"1948","SI:CH211-232I5.3"
"1949","ATP2B3B"
"1950","SI:CH211-165B19.8"
"1951","CRELD2"
"1952","CALR3A"
"1953","PAX9"
"1954","SI:CH211-214J24.10"
"1955","SLC13A4"
"1956","CORO2A"
"1957","SI:CH211-24O10.6"
"1958","PHACTR4A"
"1959","HOXC1A"
"1960","DNMT1"
"1961","XKRX"
"1962","TSPAN13A"
"1963","UBE2D2L"
"1964","TMUB1"
"1965","PLCH2A"
"1966","STX11A"
"1967","RNF185"
"1968","MYO5B"
"1969","GNMT"
"1970","TIPIN"
"1971","MRAP2A"
"1972","PDCD4B"
"1973","YWHAH"
"1974","SOX11A"
"1975","SH3BP5LA"
"1976","APLN"
"1977","ABHD4"
"1978","FBXO34"
"1979","LRATB"
"1980","ZIC3"
"1981","CAT"
"1982","BASP1"
"1983","DSN1"
"1984","ARMT1"
"1985","PNPLA6"
"1986","SI:CH73-92I20.1"
"1987","CALB1"
"1988","FGF12A"
"1989","RLTPR"
"1990","SI:CH211-114N24.7"
"1991","TEKT4"
"1992","CHRNB2B"
"1993","LAD1"
"1994","SI:CH211-247J9.1"
"1995","SI:DKEY-73N10.1"
"1996","HOXB6A"
"1997","PRPF40A"
"1998","IQCD"
"1999","TOLLIP"
"2000","RAB25B"
