"","x"
"295","ZGC:158868"
"296","RRM2"
"297","TNNT2C"
"298","ZGC:153405"
"299","DHARMA"
"300","CTSBA"
"301","GDF3"
"302","SI:DKEY-261M9.12"
"303","BLF"
"304","ID3"
"305","RBP7B"
"306","RABGAP1L2"
"307","SERPINH1B"
"308","HFE2"
"309","GADD45BB"
"310","NKX2.2B"
"311","DHRS3B"
"312","P4HA1B"
"313","PAX4"
"314","APOEB"
"315","AFP4"
"316","SIX3B"
"317","HER2"
"318","NASP"
"319","TRIM35-29"
"320","IRX7"
"321","MYOG"
"322","NMRK2"
"323","NEUROG1"
"324","P2RX3A"
"325","DNAJC1"
"326","PLCD1A"
"327","CD44A"
"328","EVE1"
"329","RIMS2B"
"330","MAB21L2"
"331","FUCA1.1"
"332","FOXI1"
"333","DUOXA2"
"334","OC90"
"335","EDNRAA"
"336","ZGC:174935"
"337","ANKRD12"
"338","CST3"
"339","CYP2X6"
"340","NNR"
"341","PRDX5"
"342","LSP1"
"343","FOXA"
"344","BIK"
"345","SI:CH211-156J16.1"
"346","MGP"
"347","HSPA5"
"348","CYGB1"
"349","TXLNBA"
"350","MARCKSL1B"
"351","FSTL1A"
"352","PAX2A"
"353","UNC45B"
"354","FBXL22"
"355","ANGPTL5"
"356","OVOL1"
"357","FOXG1A"
"358","NEUROD4"
"359","OLIG2"
"360","BUC"
"361","STM"
"362","NOG2"
"363","FA2H"
"364","DSC2L"
"365","SI:CH211-202H22.8"
"366","S100V1"
"367","RBM7"
"368","SI:CH211-270G19.5"
"369","EFEMP2B"
"370","HER5"
"371","SOUL2"
"372","PITX3"
"373","RGS2"
"374","RBM38"
"375","TMEM57A"
"376","ZGC:194210"
"377","SI:CH211-193L2.7"
"378","SOX21A"
"379","CYP1A"
"380","MESPAB"
"381","SI:CH211-173M16.2"
"382","MBOAT1"
"383","HYOU1"
"384","GCNT7"
"385","CNFN"
"386","SHHB"
"387","TBX20"
"388","PKP1B"
"389","TMEM154"
"390","SOX10"
"391","NKX2.4A"
"392","FEZF2"
"393","CFD"
"394","SI:RP71-45K5.2"
"395","APOBEC2A"
"396","ZGC:77112"
"397","CD9B"
"398","SI:CH73-31D8.2"
"399","PLOD1A"
"400","ZGC:55413"
"401","NEURL1AB"
"402","PFN2"
"403","F11R.1"
"404","PPP1R14C"
"405","IM:7138239"
"406","HES6"
"407","MESPAA"
"408","SI:CH211-260E23.8"
"409","ZGC:162969"
"410","SIVA1"
"411","SI:CH211-232I5.1"
"412","GPM6AB"
"413","VGLL4L"
"414","MDKA"
"415","FAM212AA"
"416","TMEM88A"
"417","GATA6"
"418","PAX6A"
"419","SI:DKEY-261H17.1"
"420","SI:CH1073-190K2.1"
"421","CABZ01046954.1"
"422","LFT1"
"423","ANGPTL7"
"424","DBNLA"
"425","TMEM120A"
"426","RGS14A"
"427","TOB1A"
"428","SI:CH211-147A11.3"
"429","RNFT2"
"430","SP5L"
"431","ELOVL6"
"432","NKX2.1"
"433","INHBAA"
"434","ASB11"
"435","GLULB"
"436","MSX1B"
"437","TTNA"
"438","DSPA"
"439","GYG1A"
"440","SI:DKEY-17E16.17"
"441","MGST2"
"442","AVD"
"443","CDCA7A"
"444","OTPB"
"445","FBXO32"
"446","SI:DKEY-207J16.5"
"447","SI:CH73-78O10.1"
"448","B3GNT7L"
"449","STK35L"
"450","DEGS2"
"451","CCNA2"
"452","KALRNB"
"453","ACTC1A"
"454","LARP7"
"455","DESMA"
"456","CYP2AA8"
"457","AGR2"
"458","ZWI"
"459","GATA5"
"460","AL935065.2"
"461","CXCR4B"
"462","LOXL5B"
"463","FOSAB"
"464","SINUP"
"465","CTSLA"
"466","HBBE1.2"
"467","SESN1"
"468","ALDOB"
"469","HER7"
"470","PRDM1A"
"471","EMILIN3"
"472","NOXO1A"
"473","PCDH8"
"474","GADD45AA"
"475","SI:CH211-152C2.3"
"476","LPCAT4"
"477","ASCL1A"
"478","RCOR1"
"479","SKA2"
"480","TTNB"
"481","TATDN2"
"482","FBXO2"
"483","MDKB"
"484","SI:CH211-172L8.4"
"485","SI:DKEY-208K4.2"
"486","H1F0"
"487","FOXL2"
"488","SLBP2"
"489","DCTPP1"
"490","SI:DKEY-16L2.20"
"491","TGM1L4"
"492","CRYGMX"
"493","SI:CH211-132D3.4"
"494","OSR1"
"495","ID4"
"496","TRIM109"
"497","TWIST1B"
"498","SLC3A2B"
"499","FGF8A"
"500","SI:CH73-234B20.5"
"501","PRRG2"
"502","DMRT2A"
"503","DLX5A"
"504","ZFAND5B"
"505","APLNRA"
"506","MIA"
"507","PTTG1"
"508","ITGB1BP2"
"509","SI:CH211-113A14.24"
"510","SI:DKEY-256H2.1"
"511","DUSP2"
"512","SI:DKEY-261J4.5"
"513","OSBPL7"
"514","ZGC:195170"
"515","MCM3L"
"516","ZGC:162879"
"517","RNF183"
"518","CLIC3"
"519","SNX10A"
"520","POU5F3"
"521","PTGDSB"
"522","CXCR4A"
"523","SAMD7"
"524","EMX3"
"525","DBX2"
"526","ALCAMA"
"527","SI:CH73-204P21.2"
"528","FSCN1A"
"529","COX6A2"
"530","SI:CH211-163L21.8"
"531","CRABP2A"
"532","PAPD5"
"533","GNA15.1"
"534","PAX6B"
"535","FERMT1"
"536","GRAMD1C"
"537","IGFBP1A"
"538","GPATCH4"
"539","ELL"
"540","TUBA8L2"
"541","SLMAPB"
"542","PLPP2B"
"543","AKTIP"
"544","CDKN1CA"
"545","SIX7"
"546","ALDH3B1"
"547","MAPRE1A"
"548","SI:CH211-5K11.12"
"549","HPGD"
"550","HSP70.3"
"551","ANO9"
"552","SOX3"
"553","SI:DKEY-228B2.6"
"554","OCLNA"
"555","CITED4B"
"556","ISM1"
"557","RCC1"
"558","FBXO5"
"559","TFAP2A"
"560","VAMP8"
"561","MYL13"
